hotel_name,zip,lat_long
"Lincoln Center Holiday Rentals, New York",10023,"['40.780184', '-73.979371']"
"Broadway Plaza Hotel, New York",10001,"['40.74441', '-73.98891']"
"CITY ROOMS NYC - Chelsea, New York",10017,"['40.748651', '-73.99604']"
"Equinox Hotel, New York",10001,"['40.75509', '-74.002993']"
"Empire Hotel, New York",10023,"['40.771583', '-73.982599']"
"Hotel 31, New York",10016,"['40.74473', '-73.98165']"
"Arthouse Hotel New York City, New York",10024,"['40.782246', '-73.980251']"
"Merrion Row Hotel and Public House, New York",10036,"['40.75726', '-73.98353']"
"Marriott Vacation Club Pulse, New York City, New York",10018,"['40.751112', '-73.985']"
"2-THE VERY BEST LOCATION ON 28 St AND LEX, New York",10016,"['40.742457', '-73.982615']"
"The Gotham Hotel, New York",10017,"['40.75566', '-73.97814']"
"NY015 3 Bedroom Apartment By Senstay, New York",10014,"['40.73318', '-74.00483']"
"Embassy Suites by Hilton New York Midtown Manhattan, New York",10018,"['40.75133', '-73.98583']"
"Omni Berkshire Place, New York",10022,"['40.759269', '-73.975015']"
"Canal Loft Hotel, New York",10002,"['40.71528', '-73.99377']"
"Travel Inn Hotel, New York",10036,"['40.75993', '-73.99612']"
"NobleDEN Hotel, New York",10013,"['40.719155', '-73.996884']"
"East Village Hotel, New York",10003,"['40.728272', '-73.985079']"
"The Westin New York at Times Square, New York",10036,"['40.757788', '-73.989024']"
"Hotel Five44, New York",10019,"['40.764169', '-73.994457']"
"Midtown East 1BR/1BA Oasis, New York",10016,"['40.74407', '-73.98106']"
"Fairfield Inn & Suites New York Manhattan/Times Square South, New York",10018,"['40.75402', '-73.99402']"
"The Knickerbocker Hotel, New York",10036,"['40.755751', '-73.986261']"
"Mandarin Oriental, New York, New York",10019,"['40.769193', '-73.982828']"
"Club Quarters Hotel, World Trade Center, New York",10006,"['40.709469', '-74.013942']"
"Hotel 17, New York",10003,"['40.734731', '-73.984674']"
"Charming Midtown East Suites by Sonder, New York",10016,"['40.748129', '-73.974968']"
"Dream Downtown, New York",10011,"['40.741953', '-74.003689']"
"The Plaza Hotel, New York",10019,"['40.764238', '-73.973881']"
"AKA Tribeca, New York",10007,"['40.71525', '-74.00943']"
"EVEN Hotel Times Square South, New York",10001,"['40.753294', '-73.994036']"
"Midtown Convention Center Hotel, New York",10018,"['40.757614', '-73.998516']"
"East 81 Street Studio #232465 - Studio Apts, New York",10075,"['40.773923', '-73.952388']"
"Hilton Garden Inn NYC Financial Center/Manhattan Downtown, New York",10004,"['40.70296', '-74.01226']"
"The James New York- SoHo, New York",10013,"['40.722835', '-74.004712']"
"6 Columbus Central Park a Sixty Hotel, New York",10023,"['40.767795', '-73.983016']"
"Millennium Times Square New York, New York",10036,"['40.756889', '-73.984902']"
"U Hotel Fifth Avenue, New York",10035,"['40.74918', '-73.98403']"
"224 East 59th #3rw 2 Bedrooms 2 Bathrooms Apts, New York",10022,"['40.760968', '-73.965489']"
"346 East 65th Street #4A 2 Bedrooms 1 Bathroom Apts, New York",10065,"['40.763468', '-73.960016']"
"New World Hotel, New York",10012,"['40.717586', '-73.995256']"
"Market Rentals NYC, New York",10019,"['40.765782', '-73.982706']"
"Salisbury Hotel, New York",10019,"['40.764841', '-73.978404']"
"Mondrian Park Avenue, New York",10016,"['40.74482', '-73.98329']"
"Beekman Tower Studio Suite 0 Bedroom 1 Bathroom Apts, New York",10017,"['40.753401', '-73.966174']"
"The Bowery House, New York",10002,"['40.72194', '-73.9934']"
"Flatiron Hotel, New York",10010,"['40.743933', '-73.989383']"
"Days Hotel by Wyndham on Broadway NYC, New York",10025,"['40.793184', '-73.972293']"
"Carvi Hotel New York, New York",10022,"['40.75917', '-73.96926']"
"The James New York - NoMad, New York",10016,"['40.74464', '-73.98551']"
"Hotel Boutique at Grand Central, New York",10017,"['40.753288', '-73.974427']"
"346 East 65th St 4B 1 Bedroom 1 Bathroom Apts, New York",10065,"['40.763468', '-73.960016']"
"Washington Heights Apartments, New York",10032,"['40.83768', '-73.93891']"
"The Wall Street Inn, New York",10004,"['40.704656', '-74.010462']"
"San Carlos Hotel, New York",10022,"['40.756067', '-73.971343']"
"Springhill Suites New York Manhattan/Times Square South, New York",10018,"['40.75402', '-73.99402']"
"8-2 BEDROOM APT ON 12 STREET & 3 AVE, New York",10003,"['40.731253', '-73.986545']"
"MySuites - Gramercy Suites, New York",10003,"['40.736001', '-73.982172']"
"HGU New York, New York",10016,"['40.74619', '-73.983191']"
"Courtyard by Marriott New York City Manhattan Midtown East, New York",10035,"['40.75748', '-73.96959']"
"PUBLIC, an Ian Schrager hotel, New York",10002,"['40.72282', '-73.99177']"
"The Meatpacking Suites, New York",10001,"['40.739751', '-74.002526']"
"Four Points by Sheraton Manhattan SoHo Village, New York",10012,"['40.72718', '-74.00601']"
"Fairfield Inn & Suites by Marriott/World Trade Center Area, New York",10006,"['40.70828', '-74.0136']"
"onefinestay - Noho private homes, New York",10003,"['40.7287', '-73.9926']"
"NYC Townhouse & Private Roof Deck, New York",10021,"['40.76919', '-73.95553']"
"Hotel Stanford, New York",10001,"['40.748222', '-73.987477']"
"onefinestay - West Village private homes, New York",10014,"['40.7358', '-74.0036']"
"Off Soho Suites Hotel, New York",10002,"['40.721325', '-73.992657']"
"onefinestay - Lower East Side Private Homes, New York",10029,"['40.789977', '-73.948836']"
"World Center Hotel, New York",10006,"['40.709469', '-74.013942']"
"onefinestay - Tribeca private homes, New York",10013,"['40.7163', '-74.0086']"
"LUMA Hotel Times Square, New York",10036,"['40.75442', '-73.98577']"
"onefinestay - East Village private homes, New York",10009,"['40.7265', '-73.9815']"
"onefinestay-Upper West Side priv. homes, New York",10029,"['40.789977', '-73.948836']"
"Fitzpatrick Grand Central, New York",10017,"['40.75248', '-73.97446']"
"onefinestay - Murray Hill private homes, New York",10016,"['40.7479', '-73.9757']"
"NY005 0 Bedroom Studio By Senstay, New York",10001,"['40.74769', '-74.00086']"
"Manhattan, New York",10034,"['40.86641', '-73.9244']"
"NY061 2 Bedroom Apartment By Senstay, New York",10012,"['40.72584', '-74.00213']"
"NY071 2 Bedroom Apartment By Senstay, New York",10001,"['40.74949', '-73.99577']"
"Beautiful Studio Near Central Park, New York",10021,"['40.768244', '-73.959215']"
"Beautiful 1 Bedroom Apartment, New York",10025,"['40.799736', '-73.962425']"
"Cozy Studio, New York",10022,"['40.754996', '-73.968854']"
"Redford Hotel, New York",10002,"['40.7203', '-73.98797']"
"Classy and Cozy, New York",10025,"['40.799157', '-73.966694']"
"citizenM New York Times Square, New York",10019,"['40.761717', '-73.98481']"
"Avalon Hotel, New York",10016,"['40.74673', '-73.98448']"
"Hilton Garden Inn New York/Manhattan-Midtown East, New York",10022,"['40.756839', '-73.969297']"
"Viceroy Central Park New York, New York",10019,"['40.764793', '-73.978305']"
"The Pearl New York, New York",10019,"['40.761267', '-73.98565']"
"TRYP By Wyndham Times Square South, New York",10001,"['40.753587', '-73.994731']"
"Crowne Plaza HY36 Midtown Manhattan, New York",10018,"['40.75374', '-73.99374']"
